Year,Month,Portfolio_Return,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,BAJFINANCE.NS,HINDUNILVR.NS,ITC.NS,TATAMOTORS.NS,SBIN.NS
2022,September,0.004037571929481559,-0.0986371301369759,-0.0643383568789177,-0.0435703916082573,-0.0532501971650876,-0.0285135000081461,0.0040375807512778,0.0137600897748322,0.0365055087893104,-0.1411590072259924,-0.0012236128338944
2022,October,-0.026125390977640307,0.0722742566788083,0.0655220498727233,0.0530129382856936,0.0997588925051846,0.0541763855746371,-0.0261254023342862,-0.0540525754173152,0.049668875777441,0.0201433203198524,0.081417419290761
2022,November,-0.05923068174718855,0.0712856338285643,0.0618981968041978,0.0746642681800591,0.0632783650524049,0.0486408635731521,-0.0592306964277288,0.0594585028145069,-0.0249499403200309,0.0645669490510352,0.049930340526554
2022,December,-0.021685903971890914,-0.067420885362235,-0.0395482144688636,0.0122478744953131,-0.0775253440105866,-0.065117043328285,-0.021685899238015,-0.0459327624772089,-0.0248529552192655,-0.1170914909856942,0.0186737033293933
2023,January,-0.10475732371939607,-0.0759069266172189,0.0522110919333891,-0.0151399729724328,0.0169408406942905,-0.0661726684131733,-0.1047573334660465,0.006130088004941,0.0627357467309122,0.1653563388104397,-0.0980936073530078
2023,February,0.038342640956137215,-0.0132972798923119,-0.0136510510420158,-0.0024320977584659,-0.030122257035952,0.0275874582411408,0.0383426476192645,-0.0450567119284532,0.0859681596767794,-0.0694536081423899,-0.0554651575198472
2023,March,-0.08104419651222838,0.0036597231843147,-0.032283349552595,0.0062203339768756,-0.040065920925824,0.0262033387225417,-0.0810442049110834,0.0405179104535546,0.0180514230874677,0.0002376575028386,0.0018171040485079
2023,April,0.11810207260013561,0.038373246301772,0.0041641705846007,0.0484916945340265,-0.1226933984241943,0.0460530863529076,0.1181020873869549,-0.0402484630830698,0.1096480511831743,0.15244777228597,0.1041527039010705
2023,May,0.11301581352752932,0.0204089451563631,0.0218218555417526,-0.0345324013113372,0.0523249317539478,0.0343268121855846,0.1130158230423303,0.0855613447147132,0.0533303696863924,0.0852664269530532,0.0221648370822993
2023,June,0.02878124048069805,0.0325317199282442,0.0113419900385811,0.0562125873154675,0.0266633697164657,-0.0153295916264886,0.0287812406581196,0.0121734201191505,0.0136924446791151,0.1315790517759043,-0.0120720413914462
2023,July,0.019509508117350593,0.082999338332552,0.0387906219796774,-0.0295051565060775,0.0151253618320739,0.0681575985814737,0.0195095046436466,-0.0438174944898467,0.0312224108362542,0.0852289051019619,0.0826569637637222
2023,August,-0.0188073901159396,-0.0524654886931104,-0.0188954145988623,-0.0482982157467331,0.0588256041775856,-0.0237068544001026,-0.0188073902352146,-0.0217705624633139,-0.0558299669718284,-0.0672047455390366,-0.0948887631438202
2023,September,0.09042993156047746,-0.0257582047256156,0.0511797012820225,-0.0287313399047787,0.0,-0.0071446889403332,0.0904299427508477,-0.0157481984165712,0.0106890887507939,0.0485856911599063,0.066268758424798
2023,October,-0.04072594151226634,-0.0243496401153819,-0.0428309265772773,-0.0326279427418381,-0.0343710572427713,-0.0383969567246944,-0.0407259429248102,0.0074625945046926,-0.0360035693383257,-0.002459529533007,-0.0551331734768454
2023,November,-0.04948179747677843,0.0391406515065468,0.0352801466249923,0.0557399159810347,0.0633952503912498,0.0214126097436098,-0.0494818086469101,0.0322946602702309,0.0172735257147174,0.1236777149457324,-0.0014145497707871
2023,December,0.028903811118382205,0.0872783599356379,0.0876820283831749,0.0965165523160922,0.0603031619323501,0.0659393348795636,0.0289038052284209,0.046512417043161,0.0603488043058282,0.1041194822141553,0.1368747208869729
2022,January,0.0032892364929149524,0.0077908988506691,0.0011943946287364,0.0042584369179556,-0.0802806886029681,0.0657300144777968,0.0032892383988243,-0.036607695533344,0.0098601134683322,0.0732794171444874,0.1690737258012919
2022,February,0.00029279710957466485,-0.0113342416035466,-0.0487254473167663,-0.0400148214720793,-0.0118650317467581,-0.0584433267520052,0.0002927999268564,-0.0447058353318243,0.0028962375179737,-0.1230323693508906,-0.1023593052885767
2022,March,0.03679525719957782,0.1166325257113949,0.0522622097062186,0.0309202665298389,0.1114769889270399,-0.0166957599083233,0.036795251135592,-0.05683454429555,0.1612229727175784,-0.0447086938294126,0.0214196946116638
2022,April,-0.08101310176982017,0.0590189158495035,-0.0516718122578537,-0.0583194481399869,-0.1779373481158148,0.017800953693331,-0.0810131087406661,0.0908892333397441,0.0355076017591213,0.0088760860777452,0.0055718454648661
2022,May,-0.08837942545833626,-0.0564824957911487,-0.0450240917178673,0.0148051984391477,-0.0306378320850064,0.012847919127672,-0.0883794316727176,0.0529788911186623,0.0672261260433424,0.0135968301453368,-0.0421010304330767
2022,June,-0.10884068325568219,-0.0140541959763706,-0.0289060657273081,-0.0294826112155569,-0.0277334118280078,-0.0606361245489552,-0.1088406933604796,-0.043750504416738,0.0105302217268354,-0.0715815756474448,-0.0046999108604972
2022,July,0.33489477541123513,-0.0332093738453365,0.0133192597046132,0.0639464806679108,0.0600588116289231,0.1575224676900934,0.3348948123332445,0.1823723453818841,0.1080438837376311,0.0917921946837088,0.1340416331406311
2022,August,0.013476043150647116,0.0546361309474712,-0.0274842171923657,0.0361874519821321,-0.0366200180499012,0.0904284715594341,0.0134760427198457,0.0085123068809294,0.057581192213574,0.0478203243157002,0.0054888240922252
2022,September,0.004037571929481559,-0.0986371301369759,-0.0643383568789177,-0.0435703916082573,-0.0532501971650876,-0.0285135000081461,0.0040375807512778,0.0137600897748322,0.0365055087893104,-0.1411590072259924,-0.0012236128338944
2022,October,-0.026125390977640307,0.0722742566788083,0.0655220498727233,0.0530129382856936,0.0997588925051846,0.0541763855746371,-0.0261254023342862,-0.0540525754173152,0.049668875777441,0.0201433203198524,0.081417419290761
2022,November,-0.05923068174718855,0.0712856338285643,0.0618981968041978,0.0746642681800591,0.0632783650524049,0.0486408635731521,-0.0592306964277288,0.0594585028145069,-0.0249499403200309,0.0645669490510352,0.049930340526554
2022,December,-0.021685903971890914,-0.067420885362235,-0.0395482144688636,0.0122478744953131,-0.0775253440105866,-0.065117043328285,-0.021685899238015,-0.0459327624772089,-0.0248529552192655,-0.1170914909856942,0.0186737033293933
2023,January,-0.10475732371939607,-0.0759069266172189,0.0522110919333891,-0.0151399729724328,0.0169408406942905,-0.0661726684131733,-0.1047573334660465,0.006130088004941,0.0627357467309122,0.1653563388104397,-0.0980936073530078
2023,February,0.038342640956137215,-0.0132972798923119,-0.0136510510420158,-0.0024320977584659,-0.030122257035952,0.0275874582411408,0.0383426476192645,-0.0450567119284532,0.0859681596767794,-0.0694536081423899,-0.0554651575198472
2023,March,-0.08104419651222838,0.0036597231843147,-0.032283349552595,0.0062203339768756,-0.040065920925824,0.0262033387225417,-0.0810442049110834,0.0405179104535546,0.0180514230874677,0.0002376575028386,0.0018171040485079
2023,April,0.11810207260013561,0.038373246301772,0.0041641705846007,0.0484916945340265,-0.1226933984241943,0.0460530863529076,0.1181020873869549,-0.0402484630830698,0.1096480511831743,0.15244777228597,0.1041527039010705
2023,May,0.11301581352752932,0.0204089451563631,0.0218218555417526,-0.0345324013113372,0.0523249317539478,0.0343268121855846,0.1130158230423303,0.0855613447147132,0.0533303696863924,0.0852664269530532,0.0221648370822993
2023,June,0.02878124048069805,0.0325317199282442,0.0113419900385811,0.0562125873154675,0.0266633697164657,-0.0153295916264886,0.0287812406581196,0.0121734201191505,0.0136924446791151,0.1315790517759043,-0.0120720413914462
2023,July,0.019509508117350593,0.082999338332552,0.0387906219796774,-0.0295051565060775,0.0151253618320739,0.0681575985814737,0.0195095046436466,-0.0438174944898467,0.0312224108362542,0.0852289051019619,0.0826569637637222
2023,August,-0.0188073901159396,-0.0524654886931104,-0.0188954145988623,-0.0482982157467331,0.0588256041775856,-0.0237068544001026,-0.0188073902352146,-0.0217705624633139,-0.0558299669718284,-0.0672047455390366,-0.0948887631438202
2023,September,0.09042993156047746,-0.0257582047256156,0.0511797012820225,-0.0287313399047787,0.0,-0.0071446889403332,0.0904299427508477,-0.0157481984165712,0.0106890887507939,0.0485856911599063,0.066268758424798
2023,October,-0.04072594151226634,-0.0243496401153819,-0.0428309265772773,-0.0326279427418381,-0.0343710572427713,-0.0383969567246944,-0.0407259429248102,0.0074625945046926,-0.0360035693383257,-0.002459529533007,-0.0551331734768454
2023,November,-0.04948179747677843,0.0391406515065468,0.0352801466249923,0.0557399159810347,0.0633952503912498,0.0214126097436098,-0.0494818086469101,0.0322946602702309,0.0172735257147174,0.1236777149457324,-0.0014145497707871
2023,December,0.028903811118382205,0.0872783599356379,0.0876820283831749,0.0965165523160922,0.0603031619323501,0.0659393348795636,0.0289038052284209,0.046512417043161,0.0603488043058282,0.1041194822141553,0.1368747208869729
2022,January,-0.01700153918118457,0.0077908988506691,0.0011943946287364,0.0042584369179556,-0.0802806886029681,0.0657300144777968,0.0032892383988243,-0.036607695533344,0.0098601134683322,0.0732794171444874,0.1690737258012919
2022,February,-0.01790798018505365,-0.0113342416035466,-0.0487254473167663,-0.0400148214720793,-0.0118650317467581,-0.0584433267520052,0.0002927999268564,-0.0447058353318243,0.0028962375179737,-0.1230323693508906,-0.1023593052885767
2022,March,0.07929174387006135,0.1166325257113949,0.0522622097062186,0.0309202665298389,0.1114769889270399,-0.0166957599083233,0.036795251135592,-0.05683454429555,0.1612229727175784,-0.0447086938294126,0.0214196946116638
2022,April,-0.06290083831620777,0.0590189158495035,-0.0516718122578537,-0.0583194481399869,-0.1779373481158148,0.017800953693331,-0.0810131087406661,0.0908892333397441,0.0355076017591213,0.0088760860777452,0.0055718454648661
2022,May,-0.055130962816685,-0.0564824957911487,-0.0450240917178673,0.0148051984391477,-0.0306378320850064,0.012847919127672,-0.0883794316727176,0.0529788911186623,0.0672261260433424,0.0135968301453368,-0.0421010304330767
2022,June,-0.04488359172304153,-0.0140541959763706,-0.0289060657273081,-0.0294826112155569,-0.0277334118280078,-0.0606361245489552,-0.1088406933604796,-0.043750504416738,0.0105302217268354,-0.0715815756474448,-0.0046999108604972
2022,July,0.09376587745536107,-0.0332093738453365,0.0133192597046132,0.0639464806679108,0.0600588116289231,0.1575224676900934,0.3348948123332445,0.1823723453818841,0.1080438837376311,0.0917921946837088,0.1340416331406311
2022,August,0.001001984606262499,0.0546361309474712,-0.0274842171923657,0.0361874519821321,-0.0366200180499012,0.0904284715594341,0.0134760427198457,0.0085123068809294,0.057581192213574,0.0478203243157002,0.0054888240922252
2022,September,-0.05304702585742585,-0.0986371301369759,-0.0643383568789177,-0.0435703916082573,-0.0532501971650876,-0.0285135000081461,0.0040375807512778,0.0137600897748322,0.0365055087893104,-0.1411590072259924,-0.0012236128338944
2022,October,0.052857449180607495,0.0722742566788083,0.0655220498727233,0.0530129382856936,0.0997588925051846,0.0541763855746371,-0.0261254023342862,-0.0540525754173152,0.049668875777441,0.0201433203198524,0.081417419290761
2022,November,0.03430787481435955,0.0712856338285643,0.0618981968041978,0.0746642681800591,0.0632783650524049,0.0486408635731521,-0.0592306964277288,0.0594585028145069,-0.0249499403200309,0.0645669490510352,0.049930340526554
2022,December,-0.05154508576992505,-0.067420885362235,-0.0395482144688636,0.0122478744953131,-0.0775253440105866,-0.065117043328285,-0.021685899238015,-0.0459327624772089,-0.0248529552192655,-0.1170914909856942,0.0186737033293933
2023,January,-0.02787808186389645,-0.0759069266172189,0.0522110919333891,-0.0151399729724328,0.0169408406942905,-0.0661726684131733,-0.1047573334660465,0.006130088004941,0.0627357467309122,0.1653563388104397,-0.0980936073530078
2023,February,-0.004681985087753799,-0.0132972798923119,-0.0136510510420158,-0.0024320977584659,-0.030122257035952,0.0275874582411408,0.0383426476192645,-0.0450567119284532,0.0859681596767794,-0.0694536081423899,-0.0554651575198472
2023,March,-0.037433438051296924,0.0036597231843147,-0.032283349552595,0.0062203339768756,-0.040065920925824,0.0262033387225417,-0.0810442049110834,0.0405179104535546,0.0180514230874677,0.0002376575028386,0.0018171040485079
2023,April,0.009486526462283325,0.038373246301772,0.0041641705846007,0.0484916945340265,-0.1226933984241943,0.0460530863529076,0.1181020873869549,-0.0402484630830698,0.1096480511831743,0.15244777228597,0.1041527039010705
2023,May,0.05189288887359845,0.0204089451563631,0.0218218555417526,-0.0345324013113372,0.0523249317539478,0.0343268121855846,0.1130158230423303,0.0855613447147132,0.0533303696863924,0.0852664269530532,0.0221648370822993
2023,June,0.02482958008535265,0.0325317199282442,0.0113419900385811,0.0562125873154675,0.0266633697164657,-0.0153295916264886,0.0287812406581196,0.0121734201191505,0.0136924446791151,0.1315790517759043,-0.0120720413914462
2023,July,0.03910620669698747,0.082999338332552,0.0387906219796774,-0.0295051565060775,0.0151253618320739,0.0681575985814737,0.0195095046436466,-0.0438174944898467,0.0312224108362542,0.0852289051019619,0.0826569637637222
2023,August,-0.007835672337400425,-0.0524654886931104,-0.0188954145988623,-0.0482982157467331,0.0588256041775856,-0.0237068544001026,-0.0188073902352146,-0.0217705624633139,-0.0558299669718284,-0.0672047455390366,-0.0948887631438202
2023,September,0.02896285982681365,-0.0257582047256156,0.0511797012820225,-0.0287313399047787,0.0,-0.0071446889403332,0.0904299427508477,-0.0157481984165712,0.0106890887507939,0.0485856911599063,0.066268758424798
2023,October,-0.03556939171506018,-0.0243496401153819,-0.0428309265772773,-0.0326279427418381,-0.0343710572427713,-0.0383969567246944,-0.0407259429248102,0.0074625945046926,-0.0360035693383257,-0.002459529533007,-0.0551331734768454
2023,November,0.0220835599689697,0.0391406515065468,0.0352801466249923,0.0557399159810347,0.0633952503912498,0.0214126097436098,-0.0494818086469101,0.0322946602702309,0.0172735257147174,0.1236777149457324,-0.0014145497707871
2023,December,0.06604183886989595,0.0872783599356379,0.0876820283831749,0.0965165523160922,0.0603031619323501,0.0659393348795636,0.0289038052284209,0.046512417043161,0.0603488043058282,0.1041194822141553,0.1368747208869729
2022,January,-0.01700153918118457,0.0077908988506691,0.0011943946287364,0.0042584369179556,-0.0802806886029681,0.0657300144777968,0.0032892383988243,-0.036607695533344,0.0098601134683322,0.0732794171444874,0.1690737258012919
2022,February,-0.01790798018505365,-0.0113342416035466,-0.0487254473167663,-0.0400148214720793,-0.0118650317467581,-0.0584433267520052,0.0002927999268564,-0.0447058353318243,0.0028962375179737,-0.1230323693508906,-0.1023593052885767
2022,March,0.07929174387006135,0.1166325257113949,0.0522622097062186,0.0309202665298389,0.1114769889270399,-0.0166957599083233,0.036795251135592,-0.05683454429555,0.1612229727175784,-0.0447086938294126,0.0214196946116638
2022,April,-0.06290083831620777,0.0590189158495035,-0.0516718122578537,-0.0583194481399869,-0.1779373481158148,0.017800953693331,-0.0810131087406661,0.0908892333397441,0.0355076017591213,0.0088760860777452,0.0055718454648661
2022,May,-0.055130962816685,-0.0564824957911487,-0.0450240917178673,0.0148051984391477,-0.0306378320850064,0.012847919127672,-0.0883794316727176,0.0529788911186623,0.0672261260433424,0.0135968301453368,-0.0421010304330767
2022,June,-0.04488359172304153,-0.0140541959763706,-0.0289060657273081,-0.0294826112155569,-0.0277334118280078,-0.0606361245489552,-0.1088406933604796,-0.043750504416738,0.0105302217268354,-0.0715815756474448,-0.0046999108604972
2022,July,0.09376587745536107,-0.0332093738453365,0.0133192597046132,0.0639464806679108,0.0600588116289231,0.1575224676900934,0.3348948123332445,0.1823723453818841,0.1080438837376311,0.0917921946837088,0.1340416331406311
2022,August,0.001001984606262499,0.0546361309474712,-0.0274842171923657,0.0361874519821321,-0.0366200180499012,0.0904284715594341,0.0134760427198457,0.0085123068809294,0.057581192213574,0.0478203243157002,0.0054888240922252
2022,September,-0.05304702585742585,-0.0986371301369759,-0.0643383568789177,-0.0435703916082573,-0.0532501971650876,-0.0285135000081461,0.0040375807512778,0.0137600897748322,0.0365055087893104,-0.1411590072259924,-0.0012236128338944
2022,October,0.052857449180607495,0.0722742566788083,0.0655220498727233,0.0530129382856936,0.0997588925051846,0.0541763855746371,-0.0261254023342862,-0.0540525754173152,0.049668875777441,0.0201433203198524,0.081417419290761
2022,November,0.03430787481435955,0.0712856338285643,0.0618981968041978,0.0746642681800591,0.0632783650524049,0.0486408635731521,-0.0592306964277288,0.0594585028145069,-0.0249499403200309,0.0645669490510352,0.049930340526554
2022,December,-0.05154508576992505,-0.067420885362235,-0.0395482144688636,0.0122478744953131,-0.0775253440105866,-0.065117043328285,-0.021685899238015,-0.0459327624772089,-0.0248529552192655,-0.1170914909856942,0.0186737033293933
2023,January,-0.02787808186389645,-0.0759069266172189,0.0522110919333891,-0.0151399729724328,0.0169408406942905,-0.0661726684131733,-0.1047573334660465,0.006130088004941,0.0627357467309122,0.1653563388104397,-0.0980936073530078
2023,February,-0.004681985087753799,-0.0132972798923119,-0.0136510510420158,-0.0024320977584659,-0.030122257035952,0.0275874582411408,0.0383426476192645,-0.0450567119284532,0.0859681596767794,-0.0694536081423899,-0.0554651575198472
2023,March,-0.037433438051296924,0.0036597231843147,-0.032283349552595,0.0062203339768756,-0.040065920925824,0.0262033387225417,-0.0810442049110834,0.0405179104535546,0.0180514230874677,0.0002376575028386,0.0018171040485079
2023,April,0.009486526462283325,0.038373246301772,0.0041641705846007,0.0484916945340265,-0.1226933984241943,0.0460530863529076,0.1181020873869549,-0.0402484630830698,0.1096480511831743,0.15244777228597,0.1041527039010705
2023,May,0.05189288887359845,0.0204089451563631,0.0218218555417526,-0.0345324013113372,0.0523249317539478,0.0343268121855846,0.1130158230423303,0.0855613447147132,0.0533303696863924,0.0852664269530532,0.0221648370822993
2023,June,0.02482958008535265,0.0325317199282442,0.0113419900385811,0.0562125873154675,0.0266633697164657,-0.0153295916264886,0.0287812406581196,0.0121734201191505,0.0136924446791151,0.1315790517759043,-0.0120720413914462
2023,July,0.03910620669698747,0.082999338332552,0.0387906219796774,-0.0295051565060775,0.0151253618320739,0.0681575985814737,0.0195095046436466,-0.0438174944898467,0.0312224108362542,0.0852289051019619,0.0826569637637222
2023,August,-0.007835672337400425,-0.0524654886931104,-0.0188954145988623,-0.0482982157467331,0.0588256041775856,-0.0237068544001026,-0.0188073902352146,-0.0217705624633139,-0.0558299669718284,-0.0672047455390366,-0.0948887631438202
2023,September,0.02896285982681365,-0.0257582047256156,0.0511797012820225,-0.0287313399047787,0.0,-0.0071446889403332,0.0904299427508477,-0.0157481984165712,0.0106890887507939,0.0485856911599063,0.066268758424798
2023,October,-0.03556939171506018,-0.0243496401153819,-0.0428309265772773,-0.0326279427418381,-0.0343710572427713,-0.0383969567246944,-0.0407259429248102,0.0074625945046926,-0.0360035693383257,-0.002459529533007,-0.0551331734768454
2023,November,0.0220835599689697,0.0391406515065468,0.0352801466249923,0.0557399159810347,0.0633952503912498,0.0214126097436098,-0.0494818086469101,0.0322946602702309,0.0172735257147174,0.1236777149457324,-0.0014145497707871
2023,December,0.06604183886989595,0.0872783599356379,0.0876820283831749,0.0965165523160922,0.0603031619323501,0.0659393348795636,0.0289038052284209,0.046512417043161,0.0603488043058282,0.1041194822141553,0.1368747208869729
2022,January,0.006000679005497217,0.0077908988506691,0.0011943946287364,0.0042584369179556,-0.0802806886029681,0.0657300144777968,0.0032892383988243,-0.036607695533344,0.0098601134683322,0.0732794171444874,0.1690737258012919
2022,February,-0.06279576806345018,-0.0113342416035466,-0.0487254473167663,-0.0400148214720793,-0.0118650317467581,-0.0584433267520052,0.0002927999268564,-0.0447058353318243,0.0028962375179737,-0.1230323693508906,-0.1023593052885767
2022,March,0.0705088907132369,0.1166325257113949,0.0522622097062186,0.0309202665298389,0.1114769889270399,-0.0166957599083233,0.036795251135592,-0.05683454429555,0.1612229727175784,-0.0447086938294126,0.0214196946116638
2022,April,-0.049608275469104235,0.0590189158495035,-0.0516718122578537,-0.0583194481399869,-0.1779373481158148,0.017800953693331,-0.0810131087406661,0.0908892333397441,0.0355076017591213,0.0088760860777452,0.0055718454648661
2022,May,-0.03826981529743444,-0.0564824957911487,-0.0450240917178673,0.0148051984391477,-0.0306378320850064,0.012847919127672,-0.0883794316727176,0.0529788911186623,0.0672261260433424,0.0135968301453368,-0.0421010304330767
2022,June,-0.07886671269802781,-0.0140541959763706,-0.0289060657273081,-0.0294826112155569,-0.0277334118280078,-0.0606361245489552,-0.1088406933604796,-0.043750504416738,0.0105302217268354,-0.0715815756474448,-0.0046999108604972
2022,July,0.20622945596114245,-0.0332093738453365,0.0133192597046132,0.0639464806679108,0.0600588116289231,0.1575224676900934,0.3348948123332445,0.1823723453818841,0.1080438837376311,0.0917921946837088,0.1340416331406311
2022,August,0.03546292120579487,0.0546361309474712,-0.0274842171923657,0.0361874519821321,-0.0366200180499012,0.0904284715594341,0.0134760427198457,0.0085123068809294,0.057581192213574,0.0478203243157002,0.0054888240922252
2022,September,-0.06821224159167488,-0.0986371301369759,-0.0643383568789177,-0.0435703916082573,-0.0532501971650876,-0.0285135000081461,0.0040375807512778,0.0137600897748322,0.0365055087893104,-0.1411590072259924,-0.0012236128338944
2022,October,0.07303609131372976,0.0722742566788083,0.0655220498727233,0.0530129382856936,0.0997588925051846,0.0541763855746371,-0.0261254023342862,-0.0540525754173152,0.049668875777441,0.0201433203198524,0.081417419290761
2022,November,0.08423736223539371,0.0712856338285643,0.0618981968041978,0.0746642681800591,0.0632783650524049,0.0486408635731521,-0.0592306964277288,0.0594585028145069,-0.0249499403200309,0.0645669490510352,0.049930340526554
2022,December,-0.0751097452400773,-0.067420885362235,-0.0395482144688636,0.0122478744953131,-0.0775253440105866,-0.065117043328285,-0.021685899238015,-0.0459327624772089,-0.0248529552192655,-0.1170914909856942,0.0186737033293933
2023,January,-0.05379324187033606,-0.0759069266172189,0.0522110919333891,-0.0151399729724328,0.0169408406942905,-0.0661726684131733,-0.1047573334660465,0.006130088004941,0.0627357467309122,0.1653563388104397,-0.0980936073530078
2023,February,-0.014511097236493523,-0.0132972798923119,-0.0136510510420158,-0.0024320977584659,-0.030122257035952,0.0275874582411408,0.0383426476192645,-0.0450567119284532,0.0859681596767794,-0.0694536081423899,-0.0554651575198472
2023,March,-0.01900878108709723,0.0036597231843147,-0.032283349552595,0.0062203339768756,-0.040065920925824,0.0262033387225417,-0.0810442049110834,0.0405179104535546,0.0180514230874677,0.0002376575028386,0.0018171040485079
2023,April,0.03287897743716289,0.038373246301772,0.0041641705846007,0.0484916945340265,-0.1226933984241943,0.0460530863529076,0.1181020873869549,-0.0402484630830698,0.1096480511831743,0.15244777228597,0.1041527039010705
2023,May,0.0755146568125936,0.0204089451563631,0.0218218555417526,-0.0345324013113372,0.0523249317539478,0.0343268121855846,0.1130158230423303,0.0855613447147132,0.0533303696863924,0.0852664269530532,0.0221648370822993
2023,June,0.037747911029362646,0.0325317199282442,0.0113419900385811,0.0562125873154675,0.0266633697164657,-0.0153295916264886,0.0287812406581196,0.0121734201191505,0.0136924446791151,0.1315790517759043,-0.0120720413914462
2023,July,0.04519275245672942,0.082999338332552,0.0387906219796774,-0.0295051565060775,0.0151253618320739,0.0681575985814737,0.0195095046436466,-0.0438174944898467,0.0312224108362542,0.0852289051019619,0.0826569637637222
2023,August,-0.03970771205836248,-0.0524654886931104,-0.0188954145988623,-0.0482982157467331,0.0588256041775856,-0.0237068544001026,-0.0188073902352146,-0.0217705624633139,-0.0558299669718284,-0.0672047455390366,-0.0948887631438202
2023,September,0.02193710475120586,-0.0257582047256156,0.0511797012820225,-0.0287313399047787,0.0,-0.0071446889403332,0.0904299427508477,-0.0157481984165712,0.0106890887507939,0.0485856911599063,0.066268758424798
2023,October,-0.05606459881958379,-0.0243496401153819,-0.0428309265772773,-0.0326279427418381,-0.0343710572427713,-0.0383969567246944,-0.0407259429248102,0.0074625945046926,-0.0360035693383257,-0.002459529533007,-0.0551331734768454
2023,November,0.049869795907281446,0.0391406515065468,0.0352801466249923,0.0557399159810347,0.0633952503912498,0.0214126097436098,-0.0494818086469101,0.0322946602702309,0.0172735257147174,0.1236777149457324,-0.0014145497707871
2023,December,0.13021158156695462,0.0872783599356379,0.0876820283831749,0.0965165523160922,0.0603031619323501,0.0659393348795636,0.0289038052284209,0.046512417043161,0.0603488043058282,0.1041194822141553,0.1368747208869729
2022,January,0.006000440530052801,0.0077908988506691,0.0011943946287364,0.0042584369179556,-0.0802806886029681,0.0657300144777968,0.0032892383988243,-0.036607695533344,0.0098601134683322,0.0732794171444874,0.1690737258012919
2022,February,-0.06280078436036152,-0.0113342416035466,-0.0487254473167663,-0.0400148214720793,-0.0118650317467581,-0.0584433267520052,0.0002927999268564,-0.0447058353318243,0.0028962375179737,-0.1230323693508906,-0.1023593052885767
2022,March,0.07048749207529915,0.1166325257113949,0.0522622097062186,0.0309202665298389,0.1114769889270399,-0.0166957599083233,0.036795251135592,-0.05683454429555,0.1612229727175784,-0.0447086938294126,0.0214196946116638
2022,April,-0.04961352885477135,0.0590189158495035,-0.0516718122578537,-0.0583194481399869,-0.1779373481158148,0.017800953693331,-0.0810131087406661,0.0908892333397441,0.0355076017591213,0.0088760860777452,0.0055718454648661
2022,May,-0.0382764117339106,-0.0564824957911487,-0.0450240917178673,0.0148051984391477,-0.0306378320850064,0.012847919127672,-0.0883794316727176,0.0529788911186623,0.0672261260433424,0.0135968301453368,-0.0421010304330767
2022,June,-0.07887306008502795,-0.0140541959763706,-0.0289060657273081,-0.0294826112155569,-0.0277334118280078,-0.0606361245489552,-0.1088406933604796,-0.043750504416738,0.0105302217268354,-0.0715815756474448,-0.0046999108604972
2022,July,0.20621857833826748,-0.0332093738453365,0.0133192597046132,0.0639464806679108,0.0600588116289231,0.1575224676900934,0.3348948123332445,0.1823723453818841,0.1080438837376311,0.0917921946837088,0.1340416331406311
2022,August,0.03546103415297743,0.0546361309474712,-0.0274842171923657,0.0361874519821321,-0.0366200180499012,0.0904284715594341,0.0134760427198457,0.0085123068809294,0.057581192213574,0.0478203243157002,0.0054888240922252
2022,September,-0.06822634274435954,-0.0986371301369759,-0.0643383568789177,-0.0435703916082573,-0.0532501971650876,-0.0285135000081461,0.0040375807512778,0.0137600897748322,0.0365055087893104,-0.1411590072259924,-0.0012236128338944
2022,October,0.07303118285436204,0.0722742566788083,0.0655220498727233,0.0530129382856936,0.0997588925051846,0.0541763855746371,-0.0261254023342862,-0.0540525754173152,0.049668875777441,0.0201433203198524,0.081417419290761
2022,November,0.0842429546076918,0.0712856338285643,0.0618981968041978,0.0746642681800591,0.0632783650524049,0.0486408635731521,-0.0592306964277288,0.0594585028145069,-0.0249499403200309,0.0645669490510352,0.049930340526554
2022,December,-0.07511502051916151,-0.067420885362235,-0.0395482144688636,0.0122478744953131,-0.0775253440105866,-0.065117043328285,-0.021685899238015,-0.0459327624772089,-0.0248529552192655,-0.1170914909856942,0.0186737033293933
2023,January,-0.05378931200008577,-0.0759069266172189,0.0522110919333891,-0.0151399729724328,0.0169408406942905,-0.0661726684131733,-0.1047573334660465,0.006130088004941,0.0627357467309122,0.1653563388104397,-0.0980936073530078
2023,February,-0.0145219351055989,-0.0132972798923119,-0.0136510510420158,-0.0024320977584659,-0.030122257035952,0.0275874582411408,0.0383426476192645,-0.0450567119284532,0.0859681596767794,-0.0694536081423899,-0.0554651575198472
2023,March,-0.019011230322393883,0.0036597231843147,-0.032283349552595,0.0062203339768756,-0.040065920925824,0.0262033387225417,-0.0810442049110834,0.0405179104535546,0.0180514230874677,0.0002376575028386,0.0018171040485079
2023,April,0.03287429536317259,0.038373246301772,0.0041641705846007,0.0484916945340265,-0.1226933984241943,0.0460530863529076,0.1181020873869549,-0.0402484630830698,0.1096480511831743,0.15244777228597,0.1041527039010705
2023,May,0.07551179868231143,0.0204089451563631,0.0218218555417526,-0.0345324013113372,0.0523249317539478,0.0343268121855846,0.1130158230423303,0.0855613447147132,0.0533303696863924,0.0852664269530532,0.0221648370822993
